ref_date,geography,industry,data_type,value
2020-03-01 00:00:00,Ontario,Public administration [91],Seasonally adjusted,381.5
2020-03-01 00:00:00,Alberta,"Total employed, all industries",Seasonally adjusted,2167.2
2020-03-01 00:00:00,Alberta,Construction [23],Seasonally adjusted,231.1
2020-03-01 00:00:00,Alberta,Manufacturing [31-33],Seasonally adjusted,137.8
2020-03-01 00:00:00,Alberta,"Wholesale and retail trade [41, 44-45]",Seasonally adjusted,315
2020-03-01 00:00:00,Alberta,Transportation and warehousing [48-49],Seasonally adjusted,126
2020-03-01 00:00:00,Alberta,"Professional, scientific and technical services [54]",Seasonally adjusted,184.1
2020-03-01 00:00:00,Alberta,Health care and social assistance [62],Seasonally adjusted,268.6
2020-03-01 00:00:00,Alberta,Public administration [91],Seasonally adjusted,106.2
2020-04-01 00:00:00,Canada,"Total employed, all industries",Seasonally adjusted,16085.8
2020-04-01 00:00:00,Canada,Construction [23],Seasonally adjusted,1189.4
2020-04-01 00:00:00,Canada,Manufacturing [31-33],Seasonally adjusted,1452.3
2020-04-01 00:00:00,Canada,"Wholesale and retail trade [41, 44-45]",Seasonally adjusted,2330.2
2020-04-01 00:00:00,Canada,Transportation and warehousing [48-49],Seasonally adjusted,890.2
2020-04-01 00:00:00,Canada,"Professional, scientific and technical services [54]",Seasonally adjusted,1495.7
2020-04-01 00:00:00,Canada,Health care and social assistance [62],Seasonally adjusted,2245
2020-04-01 00:00:00,Canada,Public administration [91],Seasonally adjusted,975.4
2020-04-01 00:00:00,Ontario,"Total employed, all industries",Seasonally adjusted,6346.9
2020-04-01 00:00:00,Ontario,Construction [23],Seasonally adjusted,464.8
2020-04-01 00:00:00,Ontario,Manufacturing [31-33],Seasonally adjusted,624.2
2020-04-01 00:00:00,Ontario,"Wholesale and retail trade [41, 44-45]",Seasonally adjusted,894.2
2020-04-01 00:00:00,Ontario,Transportation and warehousing [48-49],Seasonally adjusted,337.1
2020-04-01 00:00:00,Ontario,"Professional, scientific and technical services [54]",Seasonally adjusted,663.2
2020-04-01 00:00:00,Ontario,Health care and social assistance [62],Seasonally adjusted,791.4
2020-04-01 00:00:00,Ontario,Public administration [91],Seasonally adjusted,373.2
2020-04-01 00:00:00,Alberta,"Total employed, all industries",Seasonally adjusted,1939.3
2020-04-01 00:00:00,Alberta,Construction [23],Seasonally adjusted,191.6
2020-04-01 00:00:00,Alberta,Manufacturing [31-33],Seasonally adjusted,120.1
2020-04-01 00:00:00,Alberta,"Wholesale and retail trade [41, 44-45]",Seasonally adjusted,268.6
2020-04-01 00:00:00,Alberta,Transportation and warehousing [48-49],Seasonally adjusted,113.7
2020-04-01 00:00:00,Alberta,"Professional, scientific and technical services [54]",Seasonally adjusted,164.4
2020-04-01 00:00:00,Alberta,Health care and social assistance [62],Seasonally adjusted,266.7
2020-04-01 00:00:00,Alberta,Public administration [91],Seasonally adjusted,104.8
2020-05-01 00:00:00,Canada,"Total employed, all industries",Seasonally adjusted,16410.7
2020-05-01 00:00:00,Canada,Construction [23],Seasonally adjusted,1292
2020-05-01 00:00:00,Canada,Manufacturing [31-33],Seasonally adjusted,1537.1
2020-05-01 00:00:00,Canada,"Wholesale and retail trade [41, 44-45]",Seasonally adjusted,2431.3
2020-05-01 00:00:00,Canada,Transportation and warehousing [48-49],Seasonally adjusted,860.4
2020-05-01 00:00:00,Canada,"Professional, scientific and technical services [54]",Seasonally adjusted,1497.1
2020-05-01 00:00:00,Canada,Health care and social assistance [62],Seasonally adjusted,2250.2
2020-05-01 00:00:00,Canada,Public administration [91],Seasonally adjusted,977.3
2020-05-01 00:00:00,Ontario,"Total employed, all industries",Seasonally adjusted,6334
2020-05-01 00:00:00,Ontario,Construction [23],Seasonally adjusted,480
2020-05-01 00:00:00,Ontario,Manufacturing [31-33],Seasonally adjusted,644.6
2020-05-01 00:00:00,Ontario,"Wholesale and retail trade [41, 44-45]",Seasonally adjusted,905.1
2020-05-01 00:00:00,Ontario,Transportation and warehousing [48-49],Seasonally adjusted,327.2
2020-05-01 00:00:00,Ontario,"Professional, scientific and technical services [54]",Seasonally adjusted,659.3
2020-05-01 00:00:00,Ontario,Health care and social assistance [62],Seasonally adjusted,786.1
2020-05-01 00:00:00,Ontario,Public administration [91],Seasonally adjusted,380
2020-05-01 00:00:00,Alberta,"Total employed, all industries",Seasonally adjusted,1953
2020-05-01 00:00:00,Alberta,Construction [23],Seasonally adjusted,195.9
2020-05-01 00:00:00,Alberta,Manufacturing [31-33],Seasonally adjusted,127.8
2020-05-01 00:00:00,Alberta,"Wholesale and retail trade [41, 44-45]",Seasonally adjusted,269.1
2020-05-01 00:00:00,Alberta,Transportation and warehousing [48-49],Seasonally adjusted,113.4
2020-05-01 00:00:00,Alberta,"Professional, scientific and technical services [54]",Seasonally adjusted,162.4
2020-05-01 00:00:00,Alberta,Health care and social assistance [62],Seasonally adjusted,266.9
2020-05-01 00:00:00,Alberta,Public administration [91],Seasonally adjusted,101.1
